orig_file,indexnumber,int_name,int_filename,speaker,vowel,context,language
stimuli/Jeremy_ABX_ENG_clean.wav,180,SHAHP,jeremy_eng_180,jeremy,AH,SH_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,181,SHAHB,jeremy_eng_181,jeremy,AH,SH_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,182,SHAHD,jeremy_eng_182,jeremy,AH,SH_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,183,VAHP,jeremy_eng_183,jeremy,AH,V_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,184,VAHT,jeremy_eng_184,jeremy,AH,V_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,185,VAHK,jeremy_eng_185,jeremy,AH,V_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,186,VAHG,jeremy_eng_186,jeremy,AH,V_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,187,VAHB,jeremy_eng_187,jeremy,AH,V_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,188,VAHD,jeremy_eng_188,jeremy,AH,V_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,189,ZAHP,jeremy_eng_189,jeremy,AH,Z_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,190,ZAHT,jeremy_eng_190,jeremy,AH,Z_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,191,ZAHK,jeremy_eng_191,jeremy,AH,Z_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,192,ZAHG,jeremy_eng_192,jeremy,AH,Z_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,193,ZAHD,jeremy_eng_193,jeremy,AH,Z_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,194,SAHG,jeremy_eng_194,jeremy,AH,S_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,195,FAHP,jeremy_eng_195,jeremy,AH,F_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,196,FAHT,jeremy_eng_196,jeremy,AH,F_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,197,FAHB,jeremy_eng_197,jeremy,AH,F_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,198,SHAHB,jeremy_eng_198,jeremy,AH,SH_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,199,VAHP,jeremy_eng_199,jeremy,AH,V_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,200,VAHK,jeremy_eng_200,jeremy,AH,V_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,201,VAHB,jeremy_eng_201,jeremy,AH,V_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,202,VAHD,jeremy_eng_202,jeremy,AH,V_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,203,ZAHT,jeremy_eng_203,jeremy,AH,Z_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,204,ZAHG,jeremy_eng_204,jeremy,AH,Z_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,205,ZAHB,jeremy_eng_205,jeremy,AH,Z_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,206,SAHT,jeremy_eng_206,jeremy,AH,S_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,207,SAHG,jeremy_eng_207,jeremy,AH,S_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,208,SHAHP,jeremy_eng_208,jeremy,AH,SH_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,209,SHAHB,jeremy_eng_209,jeremy,AH,SH_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,210,SHAHD,jeremy_eng_210,jeremy,AH,SH_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,211,VAHT,jeremy_eng_211,jeremy,AH,V_T,eng
stimuli/Jeremy_ABX_ENG_clean.wav,212,VAHB,jeremy_eng_212,jeremy,AH,V_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,213,VAHD,jeremy_eng_213,jeremy,AH,V_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,214,ZIHG,jeremy_eng_214,jeremy,IH,Z_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,215,ZIHB,jeremy_eng_215,jeremy,IH,Z_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,216,ZIHD,jeremy_eng_216,jeremy,IH,Z_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,217,SIHG,jeremy_eng_217,jeremy,IH,S_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,218,SIHB,jeremy_eng_218,jeremy,IH,S_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,219,FIHP,jeremy_eng_219,jeremy,IH,F_P,eng
stimuli/Jeremy_ABX_ENG_clean.wav,220,FIHK,jeremy_eng_220,jeremy,IH,F_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,221,FIHD,jeremy_eng_221,jeremy,IH,F_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,222,SHIHG,jeremy_eng_222,jeremy,IH,SH_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,223,SHIHB,jeremy_eng_223,jeremy,IH,SH_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,224,SHIHD,jeremy_eng_224,jeremy,IH,SH_D,eng
stimuli/Jeremy_ABX_ENG_clean.wav,225,VIHK,jeremy_eng_225,jeremy,IH,V_K,eng
stimuli/Jeremy_ABX_ENG_clean.wav,226,VIHG,jeremy_eng_226,jeremy,IH,V_G,eng
stimuli/Jeremy_ABX_ENG_clean.wav,227,VIHB,jeremy_eng_227,jeremy,IH,V_B,eng
stimuli/Jeremy_ABX_ENG_clean.wav,228,ZIHZ,jeremy_eng_228,jeremy,IH,Z_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,229,ZIHS,jeremy_eng_229,jeremy,IH,Z_S,eng
stimuli/Jeremy_ABX_ENG_clean.wav,230,ZIHF,jeremy_eng_230,jeremy,IH,Z_F,eng
stimuli/Jeremy_ABX_ENG_clean.wav,231,ZIHSH,jeremy_eng_231,jeremy,IH,Z_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,232,ZIHV,jeremy_eng_232,jeremy,IH,Z_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,233,SIHZ,jeremy_eng_233,jeremy,IH,S_Z,eng
stimuli/Jeremy_ABX_ENG_clean.wav,234,SIHSH,jeremy_eng_234,jeremy,IH,S_SH,eng
stimuli/Jeremy_ABX_ENG_clean.wav,235,FIHV,jeremy_eng_235,jeremy,IH,F_V,eng
stimuli/Jeremy_ABX_ENG_clean.wav,236,SHIHZ,jeremy_eng_236,jeremy,IH,SH_Z,eng
